id,pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked
0,3,0,male,24,0,0,SOTON/O.Q. 3101311,7.05,,S
1,3,0,male,,0,0,359306,8.05,,S
2,3,0,male,,0,0,368323,6.95,,Q
3,3,0,male,,0,0,315037,8.6625,,S
4,1,1,male,49,1,0,PC 17485,56.9292,A20,C
5,1,0,male,24,0,0,PC 17593,79.2,B86,C
6,1,1,female,14,1,2,113760,120,B96 B98,S
7,2,0,male,38,1,0,28664,21,,S
8,3,0,male,22,0,0,324669,8.05,,S
9,2,1,female,18,0,1,231919,23,,S
10,2,0,male,,0,0,SC/PARIS 2131,15.05,,C
11,1,1,female,,0,0,PC 17598,31.6833,,S
12,1,1,male,26,0,0,111369,30,C148,C
13,2,1,female,5,1,2,C.A. 34651,27.75,,S
14,1,1,male,25,1,0,11765,55.4417,E50,C
15,1,0,male,,0,0,PC 17318,25.925,,S
16,3,1,female,0.1667,1,2,C.A. 2315,20.575,,S
17,2,1,female,31,0,0,CA 31352,21,,S
18,3,1,female,29,0,2,2650,15.2458,,C
19,2,1,female,25,0,1,230433,26,,S
20,3,0,male,,0,0,2684,7.225,,C
21,2,1,female,34,0,1,231919,23,,S
22,3,0,male,2,3,1,349909,21.075,,S
23,3,0,male,,0,0,330877,8.4583,,Q
24,3,0,female,21,1,0,4137,9.825,,S
25,3,0,male,28.5,0,0,54636,16.1,,S
26,3,0,male,28,2,0,3101277,7.925,,S
27,2,1,female,29,1,0,228414,26,,S
28,3,0,female,16,5,2,CA 2144,46.9,,S
29,2,1,female,4,1,1,29103,23,,S
30,1,1,female,22,0,1,113509,61.9792,B36,C
31,1,1,female,27,1,2,F.C. 12750,52,B71,S
32,1,1,female,36,1,2,113760,120,B96 B98,S
33,3,0,male,4,4,1,382652,29.125,,Q
34,3,1,male,4,1,1,347742,11.1333,,S
35,2,0,male,22,2,0,C.A. 31029,31.5,,S
36,3,0,male,35,0,0,349230,7.8958,,S
37,3,1,female,26,0,0,347470,7.8542,,S
38,3,0,male,25,0,0,2672,7.225,,C
39,1,1,female,39,1,1,17421,110.8833,C68,C
40,1,1,female,47,1,1,11751,52.5542,D35,S
41,3,0,female,9,2,2,W./C. 6608,34.375,,S
42,3,0,male,22,0,0,STON/O 2. 3101275,7.125,,S
